시도경찰청,위치,경찰서명칭,경찰서주소
서울특별시경찰청,서울특별시,서울중부경찰서,중구 수표로 27
서울특별시경찰청,서울특별시,서울종로경찰서,종로구 율곡로 46
서울특별시경찰청,서울특별시,서울남대문경찰서,중구 한강대로 410
서울특별시경찰청,서울특별시,서울서대문경찰서,서대문구 통일로 113
서울특별시경찰청,서울특별시,서울혜화경찰서,종로구 창경궁로 112-16
서울특별시경찰청,서울특별시,서울용산경찰서,용산구 원효로89길 24
서울특별시경찰청,서울특별시,서울성북경찰서,성북구 보문로 170
서울특별시경찰청,서울특별시,서울동대문경찰서,동대문구 약령시로 21길 29
서울특별시경찰청,서울특별시,서울마포경찰서,마포구 마포대로 183
서울특별시경찰청,서울특별시,서울영등포경찰서,영등포구 국회대로 608
서울특별시경찰청,서울특별시,서울성동경찰서,성동구 왕십리광장로 9
서울특별시경찰청,서울특별시,서울동작경찰서,동작구 노량진로 148
서울특별시경찰청,서울특별시,서울광진경찰서,광진구 자양로 167
서울특별시경찰청,서울특별시,서울서부경찰서,은평구 진흥로 58
서울특별시경찰청,서울특별시,서울강북경찰서,강북구 오패산로 406
서울특별시경찰청,서울특별시,서울금천경찰서,금천구 시흥대로 73길 50
서울특별시경찰청,서울특별시,서울중랑경찰서,중랑구 신내역로3길 40-10
서울특별시경찰청,서울특별시,서울강남경찰서,강 남 구 테헤란로 114길 11
서울특별시경찰청,서울특별시,서울관악경찰서,관악구 관악로5길 33
서울특별시경찰청,서울특별시,서울강서경찰서,강서구 화곡로 73
서울특별시경찰청,서울특별시,서울강동경찰서,강동구 성내로 57
서울특별시경찰청,서울특별시,서울종암경찰서,성북구 종암로 135
서울특별시경찰청,서울특별시,서울구로경찰서,구로구 가마산로 235
서울특별시경찰청,서울특별시,서울서초경찰서,서초구 반포대로 179
서울특별시경찰청,서울특별시,서울양천경찰서,양천구 목동동로 99
서울특별시경찰청,서울특별시,서울송파경찰서,송파구 중대로 221
서울특별시경찰청,서울특별시,서울노원경찰서,노원구 노원로 283
서울특별시경찰청,서울특별시,서울방배경찰서,서초구 동작대로 204
서울특별시경찰청,서울특별시,서울은평경찰서,은평구 연서로 365
서울특별시경찰청,서울특별시,서울도봉경찰서,도봉구 노해로 403
서울특별시경찰청,서울특별시,서울수서경찰서,강남구 개포로 617
부산광역시경찰청,부산광역시,부산중부경찰서,중구 중앙대로 105
부산광역시경찰청,부산광역시,부산동래경찰서,동래구 명륜로 70
부산광역시경찰청,부산광역시,부산영도경찰서,영도구 태종로 46
부산광역시경찰청,부산광역시,부산동부경찰서,동구 중앙대로 387
부산광역시경찰청,부산광역시,부산진경찰서,부산진구 부전로111번길 6
부산광역시경찰청,부산광역시,부산서부경찰서,서구 대영로 16
부산광역시경찰청,부산광역시,부산남부경찰서,남구 황령대로319번가길 81
부산광역시경찰청,부산광역시,부산해운대경찰서,해운대구 해운대로 129
부산광역시경찰청,부산광역시,부산사상경찰서,사상구 학감대로 264
부산광역시경찰청,부산광역시,부산금정경찰서,금정구 중앙대로 1819
부산광역시경찰청,부산광역시,부산사하경찰서,사하구 을숙도대로 665
부산광역시경찰청,부산광역시,부산연제경찰서,연제구 토곡로 26
부산광역시경찰청,부산광역시,부산강서경찰서,강서구 명지둑길 645
부산광역시경찰청,부산광역시,부산북부경찰서,북구 화명신도시로 63
부산광역시경찰청,부산광역시,부산기장경찰서,기장군 일광면 기장대로 692
대구광역시경찰청,대구광역시,대구중부경찰서,중구 경상감영길 55
대구광역시경찰청,대구광역시,대구동부경찰서,동구 반야월북로 209
대구광역시경찰청,대구광역시,대구서부경찰서,서구 국채보상로 249
